DAE-51 AIRFOIL
0.999828 0.018452
0.988958 0.020298
0.975567 0.022556
0.957135 0.025706
0.931197 0.030240
0.901147 0.035638
0.870202 0.041277
0.839273 0.046902
0.808504 0.052401
0.777903 0.057706
0.747469 0.062776
0.717199 0.067527
0.687101 0.071904
0.657151 0.075891
0.627290 0.079463
0.597428 0.082602
0.567522 0.085311
0.537544 0.087617
0.507501 0.089505
0.477414 0.090954
0.447309 0.091938
0.417238 0.092431
0.387219 0.092403
0.357270 0.091829
0.327427 0.090680
0.297727 0.088929
0.268204 0.086554
0.238915 0.083522
0.209947 0.079800
0.181403 0.075343
0.153428 0.070101
0.126241 0.064024
0.100154 0.057075
0.075605 0.049247
0.053316 0.040677
0.034300 0.031733
0.019635 0.023113
0.009765 0.015597
0.004030 0.009642
0.000000 0.000000
0.000146 -0.001463
0.001077 -0.004057
0.002911 -0.006361
0.006175 -0.008403
0.012154 -0.010377
0.022929 -0.012296
0.040595 -0.013797
0.064512 -0.014518
0.092165 -0.014462
0.121581 -0.013812
0.151821 -0.012756
0.182473 -0.011409
0.213367 -0.009844
0.244431 -0.008121
0.275627 -0.006287
0.306931 -0.004376
0.338332 -0.002424
0.369796 -0.000470
0.401225 0.001467
0.432608 0.003370
0.463958 0.005224
0.495279 0.007023
0.526571 0.008755
0.557832 0.010409
0.589060 0.011976
0.620246 0.013442
0.651384 0.014789
0.682468 0.016000
0.713499 0.017054
0.744484 0.017933
0.775431 0.018622
0.806329 0.019115
0.837156 0.019393
0.867922 0.019423
0.898783 0.019167
0.929681 0.018616
0.956403 0.017919
0.975238 0.017306
0.988839 0.016828
0.999865 0.016453
