DAE-51 AIRFOIL
0.994624 -0.103534
0.984060 -0.100376
0.971044 -0.096504
0.953133 -0.091131
0.927942 -0.083470
0.898774 -0.074450
0.868746 -0.065082
0.838733 -0.055730
0.808863 -0.046522
0.779138 -0.037526
0.749548 -0.028785
0.720082 -0.020380
0.690742 -0.012369
0.661501 -0.004761
0.632298 0.002423
0.603042 0.009178
0.573689 0.015512
0.544216 0.021454
0.514626 0.026989
0.484939 0.032094
0.455180 0.036740
0.425393 0.040893
0.395594 0.044524
0.365798 0.047604
0.336038 0.050100
0.306345 0.051982
0.276754 0.053223
0.247313 0.053784
0.218108 0.053619
0.189233 0.052674
0.160828 0.050880
0.133103 0.048162
0.106363 0.044444
0.081043 0.039666
0.057876 0.033876
0.037911 0.027317
0.022305 0.020548
0.011593 0.014291
0.005175 0.009079
0.000000 0.000000
-0.000033 -0.001470
0.000574 -0.004158
0.002114 -0.006668
0.005105 -0.009092
0.010798 -0.011781
0.021260 -0.014999
0.038611 -0.018641
0.062262 -0.022271
0.089715 -0.025586
0.118991 -0.028526
0.149135 -0.031163
0.179722 -0.033561
0.210577 -0.035773
0.241620 -0.037849
0.272806 -0.039830
0.304110 -0.041749
0.335515 -0.043639
0.366982 -0.045533
0.398413 -0.047440
0.429794 -0.049377
0.461136 -0.051357
0.492443 -0.053389
0.523713 -0.055483
0.554942 -0.057651
0.586129 -0.059902
0.617261 -0.062247
0.648331 -0.064705
0.679331 -0.067291
0.710259 -0.070026
0.741121 -0.072931
0.771920 -0.076018
0.802648 -0.079295
0.833280 -0.082775
0.863819 -0.086495
0.894419 -0.090510
0.925020 -0.094822
0.951458 -0.098771
0.970078 -0.101674
0.983519 -0.103807
0.994417 -0.105523
