E193  (10.22%)               
0.999391 0.034899
0.995985 0.035291
0.986062 0.036635
0.970306 0.039107
0.949326 0.042477
0.923463 0.046407
0.892912 0.050763
0.858034 0.055559
0.819338 0.060782
0.777389 0.066311
0.732772 0.072047
0.686092 0.077812
0.637997 0.083437
0.589133 0.088694
0.540134 0.093277
0.491502 0.096762
0.443550 0.098870
0.396562 0.099420
0.350812 0.098343
0.306529 0.095636
0.263931 0.091407
0.223338 0.085917
0.185153 0.079360
0.149762 0.071910
0.117528 0.063720
0.088746 0.054961
0.063691 0.045791
0.042586 0.036398
0.025593 0.027010
0.012824 0.017868
0.004327 0.009327
0.000193 0.001928
0.001419 -0.003683
0.008477 -0.008079
0.020864 -0.011779
0.038440 -0.014527
0.061095 -0.016268
0.088657 -0.016996
0.120919 -0.016760
0.157611 -0.015609
0.198378 -0.013675
0.242804 -0.011073
0.290434 -0.007929
0.340710 -0.004382
0.393059 -0.000573
0.446875 0.003368
0.501500 0.007327
0.556248 0.011190
0.610443 0.014873
0.663405 0.018314
0.714477 0.021448
0.763008 0.024253
0.808381 0.026698
0.850013 0.028783
0.887356 0.030507
0.919926 0.031944
0.947359 0.033183
0.969428 0.034183
0.985787 0.034765
0.995938 0.034919
