E193  (10.22%)               
0.999391 -0.034899
0.996021 -0.034271
0.986216 -0.032238
0.970671 -0.028673
0.949976 -0.023848
0.924451 -0.018124
0.894278 -0.011647
0.859819 -0.004430
0.821582 0.003479
0.780121 0.011921
0.736013 0.020756
0.689849 0.029763
0.642263 0.038729
0.593885 0.047383
0.545325 0.055372
0.497055 0.062241
0.449366 0.067689
0.402531 0.071515
0.356817 0.073632
0.312454 0.074021
0.269664 0.072773
0.228787 0.070128
0.190238 0.066251
0.154413 0.061288
0.121686 0.055367
0.092364 0.048636
0.066730 0.041236
0.045021 0.033339
0.027415 0.025159
0.014039 0.016930
0.004967 0.009002
0.000327 0.001910
0.001159 -0.003773
0.007893 -0.008651
0.019991 -0.013206
0.037333 -0.017173
0.059811 -0.020490
0.087256 -0.023139
0.119455 -0.025154
0.156138 -0.026565
0.196941 -0.027480
0.241440 -0.027983
0.289173 -0.028169
0.339575 -0.028138
0.392062 -0.027990
0.446021 -0.027813
0.500789 -0.027674
0.555674 -0.027640
0.609993 -0.027745
0.663066 -0.028008
0.714232 -0.028444
0.762842 -0.029030
0.808274 -0.029756
0.849950 -0.030581
0.887322 -0.031466
0.919913 -0.032304
0.947366 -0.032983
0.969451 -0.033524
0.985811 -0.034085
0.995948 -0.034639
